T49311134/TSK,ｵｰﾅｰｽﾞ株式OP,G11600,東京海上･ジャパン･オーナーズ株式オープン,
T47313179/TSK,厳選ｼﾞｬﾊﾟﾝ,G12658  ,厳選ジャパン,
T47313162/TSK,眼力,G12100,企業価値成長小型株ファンド,
T80311083/TSK,厳選投資,G06761,スパークス･新･国際優良日本株ファンド,
T0131J136/TSK,日株Mﾍﾟｿ年2,G09299,野村通貨選択日本株投信(メキシコペソ)年２,
T01319136/TSK,日株Mﾍﾟｿ毎,G09299,野村通貨選択日本株投信(メキシコペソ)毎月,
T45311135/TSK,いざ！日本株,G09252,日本株・市場リスクコントロールファンド,
T10311138/TSK,ﾀﾞﾌﾞﾙｳｨﾝ,G09374,Ｔ＆Ｄ日本株式投信（通貨選択型）米ドル,
T22311163/TSK,ひとくふう,G11577,ひとくふう日本株式ファンド,
T01316155/TSK,もてなし米$,G11130,野村サービス関連株ファンド(米ドルコース),
T47311139/TSK,ﾘｽｸｺﾝﾄﾛｰﾙOP,G09447,日経２２５リスクコントロールオープン,
T8031100A/TSK,ﾗｲｼﾞﾝｸﾞ･ｻﾝ,G01461,ジャパン・スモール・キャップ・ファンド,
T4531516A/TSK,みんなのﾁｶﾗ,G12279,好循環社会促進日本株ファンド,
T47311007/TSK,ﾏﾈｯｸｽ･日本,G11822,マネックス・日本成長株ファンド,
T80311071/TSK,華咲く中小型,G05247,Ｍ＆Ｓ・ジャパン・ファンド,
T01314159/TSK,JPｱｸﾃｨﾌﾞ分配,G11284,ジャパン･アクティブ･グロース(分配型),
T09312053/TSK,好配当ﾘﾊﾞﾗ,G11284,ジャパン･アクティブ･グロース(分配型),
T01315159/TSK,JPｱｸﾃｨﾌﾞ資成,G11284,ジャパン･アクティブ･グロース(資産成長型),
T47314138/TSK,風物語,G12051,新光日本小型株ファンド,
T47313042/TSK,波物語,G11986,新光小型株オープン,
T09311168/TSK,株ﾃｰﾏｾﾚｸｼｮﾝ,G12118,日本株テーマセレクション,
T89311174/TSK,日本ｱｼﾞｱﾌｨﾝﾃ,G12488,ＳＢＩ日本・アジアフィンテック株式Ｆ,
T0931115C/TSK,日本連続増配,G11416,日本連続増配成長株オープン,
T02311136/TSK,RS日本株式F,G09263,ＲＳ日本株式ファンド,
T04315136/TSK,日本ｽﾄﾗα米,G09268,日本株ストラテジーα 米ドル（毎月）,
T09311058/TSK,絆(きずな),G04511,日本ＳＲＩオープン,
T29311084/TSK,ﾆｯｾｲ健康応援,G06856,ニッセイ健康応援ファンド,
T4531199A/TSK,ｼｸﾞﾅ日本株,G06856,ニッセイ健康応援ファンド,
T10311144/TSK,JPXﾀﾞﾌﾞﾙｳｨﾝ,G10342,ＪＰＸ日経４００投信(通貨選択)米ドル,
T45311987/TSK,むぎわら,G03110,損保ジャパン日本株オープン,
T5931106C/TSK,しんきんSRI,G05179,しんきんＳＲＩファンド,
T47312002/TSK,J-ﾌﾛﾝﾃｨｱ,G11819,ＭＨＡＭ新興成長株オープン,
T29311002/TSK,生活3C,G01258,ニッセイ日本株グロースオープン,
T4531113C/TSK,好配OP年1,G10179,みずほ好配当日本株オープン(年１回決算型),
T02311085/TSK,ｼﾞｬﾊﾟﾝ高配当,G06907,日興ジャパン高配当株式ファンド,
T80311005/TSK,ﾋﾞｯｸﾞｳｪｲﾌﾞ21,G01356,スパークス・ジャパン・エクイティ・Ｆ,
T45311062/TSK,株式時代,G04802,好配当ジャパン・オープン,
T45311056/TSK,みずほ好配,G07407,みずほ好配当日本株オープン,
T04311052/TSK,ﾀﾞｲﾜ隆晴,G04290,ダイワ隆晴（日本株式オープン）,
T03311125/TSK,好配当優良株,G10986,好配当優良株ジャパン・オープン,
T47315137/TSK,ｽﾄﾗﾃｼﾞｰ Mﾍﾟｿ,G09329,アクティブ･ストラテジー(通貨選)Ｍペソ,
T80311045/TSK,ｽﾊﾟｰｸｽ･ｼﾞｬ,G03983,スパークス・ジャパン・オープン,
T03313063/TSK,ｼﾞｬﾊﾟﾝ株式3M,G10967,ジャパン株式インカム（３ヵ月決算型）,
T80311044/TSK,ｽﾊﾟｰｸｽ･ｱｸﾃｨﾌ,G03975,スパークス・アクティブ・ジャパン,
T9Y31813A/TSK,成長への道,G10010,２１世紀東京　日本株式ファンド,
T47313067/TSK,瀬戸内応援団,G12003,瀬戸内４県ファンド,
T47311769/TSK,株式 ｵｰﾌﾟﾝ,G11808,ＭＨＡＭ株式オープン,
T01313166/TSK,野村継続日株,G11752,野村継続増配日本株,
T45311092/TSK,日本株ﾉｰﾛｰﾄﾞ,G07407,みずほ好配当日本株オープン(ノーロード型),
T03311835/TSK,ｼｽﾃﾑ ｵｰﾌﾟﾝ,G10958,システム・オープン,
T47311002/TSK,出世株,G01260,ＤＩＡＭ成長株オープン,
T47312139/TSK,新興企業米$,G09491,ＤＩＡＭ新興企業日本株オープン　米ドル型,
T42311166/TSK,日本選抜,G11761,ｉＴｒｕｓｔ日本株式,
T22312165/TSK,ﾌﾟﾚﾐｱｼﾞｬﾊﾟﾝ,G11691,日本高配当株フォーカス(プレミアジャパン,
T58311006/TSK,ﾊﾞﾘｭｰ&ｸﾞﾛｰ,G01374,りそな・バリュー＆グロース,
T29311174/TSK,ｼﾞｬﾊﾟﾝAI革命,G12506,ニッセイ・ジャパンＡＩ関連株式ファンド,
T2931214C/TSK,お財布F株式,G10734,乙女のお財布ファンド（株式型）,
T01311902/TSK,ｽｰﾊﾟｰ ﾄﾚﾝﾄ,G02290,スーパートレンドオープン,
T10312137/TSK,ﾀﾞﾌﾞﾙ･ｲﾝﾊﾟｸﾄ,G09295,Ｔ＆Ｄ日本株ファンド(通貨選択)米ドル建て,
T68311997/TSK,ｸｵﾝﾂ日本株,G01105,朝日ライフクオンツ日本株オープン,
T0231396C/TSK,日本新興株OP,G01705,日本新興株オープン,
T01312155/TSK,企業価値米$,G11117,野村日本企業価値向上オープン(米ドル投資),
T47314135/TSK,ｸｰﾙ･ｼﾞｬﾊﾟﾝ,G12048,海外消費関連日本株ファンド,ピクピクテ日本ナンバーワン・Ｆ（毎月分配型）テ日本ナンバーワン・Ｆ（毎月分配型）
T42311091/TSK,NO.1,G07367,ピクテ日本ナンバーワン・Ｆ（毎月分配型）,
T40313053/TSK,誠実の杜,G04312,りそな ジャパンＣＳＲファンド,
T04312136/TSK,日本ｽﾄﾗα円,G09268,日本株ストラテジーα 日本円（毎月）,
T59312028/TSK,好配当利回,G04847,しんきん好配当利回り株ファンド,
T2031398C/TSK,日本株式,G01748,シュローダー日本株式オープン,
T10311996/TSK,RAO,G01107,大同リサーチ＆アクティブオープン,
T04311153/TSK,椿,G10847,女性活躍応援ファンド,
